BST8;BST_NAME;LAND;LAT;LON
20199000;ROSTOKINO;Russische Föderation;55.837896;37.649825
20199208;CHERKIZOVO;Russische Föderation;55.966204;37.79596
20199307;LEFORTOVO;Russische Föderation;55.753262;37.704099
20199406;MOSKVA JUSHNI PORT;Russische Föderation;55.755826;37.6173
20199505;UGRESHSKAIA;Russische Föderation;;
20199703;BOINIA;Russische Föderation;;
20199802;MOSKVA NOVOPROLETARSKAJA;Russische Föderation;55.755826;37.6173
20200006;BRJANSK;Russische Föderation;53.263531;34.41611
20201202;ZLYNKA-EKS.;Russische Föderation;52.428436;31.733098
20202002;UNECHA;Russische Föderation;52.828763;32.60461
20202101;KLINTSY;Russische Föderation;52.756616;32.256669
20203703;WITEMLIA-EKS.;Russische Föderation;;
20203802;NAVLJA;Russische Föderation;52.829339;34.506422
20204206;SUZEMKA;Russische Föderation;52.389217;33.887386
20204404;SUZEMKA-EKS.;Russische Föderation;52.317533;34.073671
20205302;MIH.RUDNIK/SHELESNOJE;Russische Föderation;;
20205609;LUJKI-ORLOVSKIE;Russische Föderation;;
20207100;GLUCHKOWO-EKS.;Russische Föderation;;
20208108;RYCHKOVO;Russische Föderation;55.932989;36.898109
20208207;KURSK;Russische Föderation;51.709196;36.156224
20210104;TULA;Russische Föderation;54.204836;37.618492
20210302;TULA VIAZEMSKAIA;Russische Föderation;54.204836;37.618492
20213108;TUPIK;Russische Föderation;59.48623;35.617677
20213322;KIREEVSKAIA;Russische Föderation;;
20214007;KAZNATCEEWKA;Russische Föderation;;
20214106;SCEKINO;Russische Föderation;54.000972;37.520372
20215608;OTRADA;Russische Föderation;53.971505;55.120329
20216002;OREL;Russische Föderation;52.966847;36.06249
20217406;SWOBODA;Russische Föderation;53.859777;23.119986
20218602;LIVNY I;Russische Föderation;52.424625;37.599642
20218701;LIVNY II;Russische Föderation;52.401362;37.58132
20220004;RYBNOE;Russische Föderation;54.725091;39.510467
20220202;DJAGELEVO;Russische Föderation;;
20220228;PAVLOVSKIJ POST;Russische Föderation;;
20220301;RJAZAN;Russische Föderation;54.609542;39.712586
20220509;LESOK;Russische Föderation;54.58544;39.795667
20221507;KASIMOV;Russische Föderation;54.949757;41.397405
20222000;SASOVO;Russische Föderation;54.356424;41.919413
20222802;RIAZAN 2;Russische Föderation;55.030556;37.923963
20223107;STENKINO 2;Russische Föderation;54.546462;39.747298
20223800;RIAJSK;Russische Föderation;53.56527;40.063682
20225300;EFREMOV;Russische Föderation;53.149449;38.093733
20225706;SBORNAIA UGOLNAIA;Russische Föderation;53.991456;38.295462
20226308;NOVOMOSKOVSKAJA;Russische Föderation;55.817199;37.617457
20226704;WENEW;Russische Föderation;;
20230003;OREHOVO-ZUEVO;Russische Föderation;55.803435;38.96679
20230102;REUTOVO;Russische Föderation;52.057859;36.361674
20230201;STROIKA;Russische Föderation;;
20230300;BALASHIHA;Russische Föderation;55.79819;37.967987
20230409;ZHELEZNODOROZHNAJA;Russische Föderation;55.597934;38.146401
20230460;ELEKTROUGLI;Russische Föderation;55.715611;38.209321
20230508;KUPAVNA;Russische Föderation;55.745612;38.121438
20230607;ELEKTROUGLI;Russische Föderation;55.715611;38.209321
20230805;FRJAZEVO;Russische Föderation;;
20230904;ELEKTROSTAL;Russische Föderation;55.783553;38.455161
20231001;NOGINSK;Russische Föderation;55.876116;38.466659
20231100;PAVLOVSKIJ POSAD;Russische Föderation;55.775803;38.653292
20231506;POKROV;Russische Föderation;55.918089;39.178437
20231605;DULEVO;Russische Föderation;54.461181;36.945061
20231803;KUROVSKAIA;Russische Föderation;55.573219;38.923102
20232108;SHATURA;Russische Föderation;55.57596;39.530068
20232306;KRIVANDINO;Russische Föderation;55.561747;39.68268
20233403;EGORJEVSK;Russische Föderation;;
20233601;VOSKRESENSK;Russische Föderation;55.323842;38.681513
